xc(um),yc(um),zc(um),radius(um),matid
0.29,0.29,0,0.10439999999999999,96
0.29,0.8699999999999999,0,0.10439999999999999,97
0.29,1.45,0,0.10439999999999999,98
0.29,2.03,0,0.10439999999999999,99
0.29,2.61,0,0.10439999999999999,100
0.29,3.7699999999999996,0,0.10439999999999999,101
0.29,4.35,0,0.10439999999999999,102
0.29,4.93,0,0.10439999999999999,103
0.29,5.51,0,0.10439999999999999,104
0.29,6.09,0,0.10439999999999999,105
0.8699999999999999,0.29,0,0.10439999999999999,106
1.4499999999999997,0.29,0,0.10439999999999999,107
2.03,0.29,0,0.10439999999999999,108
0.8699999999999999,0.8699999999999999,0,0.10439999999999999,109
1.4499999999999997,0.8699999999999999,0,0.10439999999999999,110
2.03,0.8699999999999999,0,0.10439999999999999,111
0.8699999999999999,1.45,0,0.10439999999999999,112
1.4499999999999997,1.45,0,0.10439999999999999,113
2.03,1.45,0,0.10439999999999999,114
0.8699999999999999,2.03,0,0.10439999999999999,115
1.4499999999999997,2.03,0,0.10439999999999999,116
2.03,2.03,0,0.10439999999999999,117
0.8699999999999999,2.61,0,0.10439999999999999,118
1.4499999999999997,2.61,0,0.10439999999999999,119
2.03,2.61,0,0.10439999999999999,120
0.8699999999999999,3.7699999999999996,0,0.10439999999999999,121
1.4499999999999997,3.7699999999999996,0,0.10439999999999999,122
2.03,3.7699999999999996,0,0.10439999999999999,123
0.8699999999999999,4.35,0,0.10439999999999999,124
1.4499999999999997,4.35,0,0.10439999999999999,125
2.03,4.35,0,0.10439999999999999,126
0.8699999999999999,4.93,0,0.10439999999999999,127
1.4499999999999997,4.93,0,0.10439999999999999,128
2.03,4.93,0,0.10439999999999999,129
0.8699999999999999,5.51,0,0.10439999999999999,130
1.4499999999999997,5.51,0,0.10439999999999999,131
2.03,5.51,0,0.10439999999999999,132
0.8699999999999999,6.09,0,0.10439999999999999,133
1.4499999999999997,6.09,0,0.10439999999999999,134
2.03,6.09,0,0.10439999999999999,135
2.61,0.29,0,0.10439999999999999,136
3.19,0.29,0,0.10439999999999999,137
