xc(um),yc(um),zc(um),radius(um),matid
6.75,0.0,0,2.5,29
3.375000000000001,5.84567147554496,0,2.5,30
-3.3749999999999987,5.845671475544961,0,2.5,31
-6.75,8.266365894244634e-16,0,2.5,32
-3.375000000000003,-5.845671475544959,0,2.5,33
3.375000000000001,-5.84567147554496,0,2.5,34
0,0,0,30,11
0,0,0,20,12
